Case	Detected	MML	Normal	Undetected	Unknown	Invalid
1-M9GRBV	9	33	17	0	0	1 
1-M9GRC5	12	40	20	0	0	0 
1-M9H0X5	0	0	1	0	0	0 
1-M9H0XF	4	33	12	0	0	1 
1-M9HCO7	5	59	22	0	0	0 
1-M9HFNZ	5	42	13	0	0	0 
1-M9HFXP	1	0	0	0	0	0 
1-M9HNHN	7	21	10	0	0	0 
1-M9HWJR	2	17	7	0	0	0 
1-M9HX8R	2	14	8	0	0	0 
1-M9I0QL	5	26	12	0	0	1 
1-M9I2PF	0	13	3	0	0	0 
1-M9I8U9	2	2	4	0	0	0 
1-M9INJ5	2	2	8	0	0	0 
1-M9IOGR	0	2	1	0	0	0 
1-M9IP0R	0	2	4	0	0	0 
1-M9IUT3	0	1	8	0	0	0 
1-M9IWC3	0	3	7	0	0	0 
1-M9J24P	1	1	4	0	0	0 
1-M9JAW9	0	2	3	0	0	0 
1-M9KDNJ	0	8	10	0	0	1 
1-M9KZ37	1	5	11	2	0	0 
1-M9L08B	0	8	13	4	0	0 
